iteration,fidelity,n_samples,radius,thickness,npanels,theta,length,y_raw,y_cnp,y_cnp_err,y_rGe77[nuc/(kg*yr)]
0,0,50000,101.8,6.1,85.0,79.4,3.3,96.0,0.2087,0.0194,0.28
0,0,50000,239.6,17.8,309.0,19.2,3.1,72.0,0.4857,0.0288,0.2197
0,0,50000,252.8,16.0,65.0,89.6,2.8,38.0,0.3835,0.0291,0.1152
0,0,50000,248.0,13.6,182.0,13.9,4.7,58.0,0.2717,0.0241,0.173
0,0,50000,227.5,7.8,350.0,47.0,6.2,68.0,0.6071,0.028,0.206
0,0,50000,213.1,6.4,113.0,69.6,12.5,70.0,0.2467,0.0225,0.2108
0,0,50000,235.7,13.3,293.0,13.4,4.9,34.0,0.4108,0.028,0.1036
0,0,50000,246.7,9.8,146.0,11.1,4.8,54.0,0.2285,0.0223,0.1639
0,0,50000,227.0,8.2,142.0,20.6,8.2,60.0,0.2121,0.0209,0.1791
0,0,50000,111.2,7.6,132.0,10.1,5.0,46.0,0.2235,0.0198,0.1365
0,0,50000,132.5,7.4,331.0,76.8,3.5,68.0,0.4719,0.0267,0.2076
0,0,50000,255.1,5.7,34.0,49.1,12.4,62.0,0.251,0.024,0.1869
0,0,50000,218.8,12.7,51.0,66.0,2.5,70.0,0.2361,0.0225,0.2153
0,0,50000,247.7,18.5,83.0,5.9,4.1,46.0,0.2044,0.0213,0.1422
0,0,50000,209.1,5.3,113.0,34.4,26.1,56.0,0.1928,0.0197,0.1703
0,0,50000,169.2,14.2,205.0,35.4,4.1,48.0,0.2446,0.0213,0.1447
0,0,50000,206.4,11.9,47.0,76.1,4.1,56.0,0.2303,0.0222,0.1666
0,0,50000,206.6,11.4,63.0,20.5,19.5,54.0,0.1753,0.0187,0.173
0,0,50000,206.6,6.1,53.0,21.3,35.1,50.0,0.1706,0.0185,0.1561
0,0,50000,177.3,15.2,339.0,16.7,3.3,26.0,0.4319,0.0263,0.0796
0,0,50000,133.1,6.9,6.0,52.6,11.2,62.0,0.1686,0.0178,0.1808
0,0,50000,217.0,17.1,175.0,12.2,6.6,46.0,0.2278,0.0215,0.1393
0,0,50000,233.1,8.9,39.0,15.0,35.0,42.0,0.1764,0.0194,0.1264
0,0,50000,209.8,16.1,313.0,50.6,3.0,58.0,0.5348,0.0277,0.1786
0,0,50000,147.7,5.1,41.0,31.0,26.7,62.0,0.1812,0.0183,0.1846
0,0,50000,236.9,7.8,264.0,89.1,9.8,66.0,0.5677,0.0289,0.2065
0,0,50000,182.2,5.3,162.0,54.6,17.2,52.0,0.2449,0.0215,0.1559
0,0,50000,141.4,14.6,52.0,30.8,10.1,60.0,0.1834,0.0184,0.1794
0,0,50000,159.1,10.8,167.0,4.0,4.9,52.0,0.1923,0.0188,0.1539
0,0,50000,101.8,13.0,170.0,48.4,3.8,42.0,0.2356,0.0204,0.1255
